CP,Plaza,Estado,Municipio,Colonia,Zona,Caja 1KG,Costo por kilo adicional,Palet
02080,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SECTOR NAVAL,1,$113,$3,$915
02090,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SAN ALVARO,1,$113,$3,$915
02099,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,ANGEL ZIMBRON,1,$113,$3,$915
02109,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,MANUEL RIVERA ANAYA CROC 1,1,$113,$3,$915
02109,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,CROC 6 OLIMPIA,1,$113,$3,$915
02110,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SAN PABLO XALPA,1,$113,$3,$915
02110,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,ECOLOGICA NOVEDADES IMPACTO,1,$113,$3,$915
02120,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SAN MARTIN XOCHINAHUAC,1,$113,$3,$915
02125,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SAN MARTIN XOCHINAHUAC,1,$113,$3,$915
02128,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,NUEVA EL ROSARIO,1,$113,$3,$915
02129,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,NUEVA ESPANA,1,$113,$3,$915
02130,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,TIERRA NUEVA,1,$113,$3,$915
02140,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SANTA INES,1,$113,$3,$915
02150,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,PASTEROS,1,$113,$3,$915
02160,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SANTO DOMINGO,1,$113,$3,$915
02169,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,VILLAS DE AZCAPOTZALCO,1,$113,$3,$915
02200,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,REYNOSA TAMAULIPAS,1,$113,$3,$915
02230,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SANTA BARBARA,1,$113,$3,$915
02240,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SAN ANDRES,1,$113,$3,$915
02250,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SANTA CATARINA,1,$113,$3,$915
02260,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,PITOLACA,1,$113,$3,$915
02300,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,INDUSTRIAL VALLEJO,1,$113,$3,$915
02310,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,FERRERIA,1,$113,$3,$915
02320,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SAN ANDRES DE LAS SALINAS,1,$113,$3,$915
02330,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,HUAUTLA DE LAS SALINAS,1,$113,$3,$915
02340,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SANTA CRUZ DE LAS SALINAS,1,$113,$3,$915
02360,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,LAS SALINAS,1,$113,$3,$915
